[710.0996438985638, 182.8404994370502]
[616.6106280585938, 119.8889311357795]
[725.8446322294702, 209.87029416232022]
[627.4476398404634, 131.17318693237365]
[689.1093738907861, 189.97514541770713]
[645.4689509016421, 123.10192683974667]
[686.8820002419936, 151.14714427212328]
[654.2952469691663, 120.89823254136462]
[719.2106305778615, 147.3657713058421]
[634.4828242431356, 166.8138437812399]
[658.0138382301817, 151.49908088245564]
[610.327796196755, 135.1892417127974]
[634.6395537739019, 132.20406370619193]
[561.1546132036046, 147.1611899097159]
[646.7509547040901, 167.1405773922373]
[518.121808664028, 151.9553282722277]
[589.4997954678091, 206.54276628879177]
[529.572967977176, 192.4866666431119]
[563.6650437181567, 212.90948794694975]
[506.33324158605393, 202.80602342318863]
[552.5130734994783, 202.29049632009156]
[483.1116378472643, 249.80186684835866]
[507.9266758564964, 226.15675224467063]
[446.3816873089454, 239.67629809844857]
[462.80043764552727, 172.5635931173597]
[343.2788260864314, 258.8080627107773]
[353.03055081300494, 174.2123991944826]
[306.009219922901, 242.46024204466204]
[337.6322815033382, 164.42051930691895]
[278.1766242156705, 231.88932661968704]
[313.85720754542814, 140.90060771664838]
[327.771730557819, 236.09822496328778]
[353.77054416117886, 149.8095065940623]
[369.52172386823, 247.91788980999425]
[379.0702723276635, 182.4390510330718]
[382.77639416219716, 249.96878760605816]
[362.9726823034403, 198.07016797528203]
[430.1547750652406, 258.75714940786287]
[320.30881189412725, 146.5463228678097]
[412.68290767397053, 271.75029689465987]
[374.1711138342796, 157.8288327068308]
[394.8961706681225, 244.79773901227]
[416.859365738517, 235.21239048971938]
[438.913397595588, 264.8901869757347]
[422.37920078449804, 246.55085922664887]
[425.80668109685524, 250.42164984474218]
[450.66846626628615, 267.6609544985005]
[461.4652663908508, 228.76357164372328]
[438.2782388667281, 300.1916350011662]
[443.5782741739925, 228.00459336207308]
[440.5654872883331, 288.0651537712564]
[449.9808160796692, 257.9628795154607]
[453.7872874598917, 306.7197792001716]
[457.5395408465166, 285.7425652901525]
[454.5783223465788, 322.42193910392217]
[430.1524429290539, 258.5228972927825]
[512.1404292909375, 380.4975274031398]
